Code,State,January,Feburary,March,April,May,June,July,August,September,October,November,December,2021January,2021February,2021March,2021April,2021May,2021June,2021July
AL,Alabama,0,0,987,7088,17952,38045,81115,126058,154701,192285,249524,361226,459639,493252,515388,527922,543405,550983,577463
AK,Alaska,0,0,119,355,459,937,2623,6075,8707,16247,32407,46740,53985,57846,62559,67598,69627,70669,74283
AZ,Arizona,1,1,1289,7655,19936,79228,163827,201866,218511,245962,327046,523829,758576,817232,841811,862497,881450,894875,921445
AR,Arkansas,0,0,523,3281,7253,20777,39447,61224,83697,112190,157359,225138,295268,322415,330398,335725,341381,349385,379726
CA,California,3,12,8233,50130,111951,231418,458121,712543,821126,935262,1237238,2307860,3324064,3569578,3669048,3742224,3789883,3818311,4011417
CO,Colorado,0,0,2966,15284,26364,32698,44547,57797,71090,107844,234502,335579,397138,430970,464782,513752,546168,560927,575875
CT,Connecticut,0,0,3128,27700,42201,46514,48983,52879,57550,71207,117295,185708,250023,279946,310888,339233,347341,349352,353505
DE,Delaware,0,0,319,4734,9498,11474,14406,17429,20613,24951,35654,57456,78071,86799,94802,104405,108866,109744,111016
DC,District of Columbia,0,0,495,4323,8801,10327,11780,13992,15326,17266,21552,28983,36872,40598,44513,47697,48898,49347,50268
FL,Florida,0,0,6741,33690,56163,152434,432747,623463,706508,802539,999311,1323307,1721369,1909213,2057727,2233510,2320810,2329859,2534334
GA,Georgia,0,0,3929,26264,47063,81291,170843,254238,301485,372631,454328,644065,885249,981844,1035186,1075835,1099169,1110094,1145590
HI,Hawaii,0,0,204,618,652,917,1711,8447,12555,15207,18006,21459,25786,27473,29779,32767,35035,36391,39392
ID,Idaho,0,0,515,1984,2839,6117,18692,32256,42549,64797,102158,141388,162762,171209,180643,187726,192084,195074,199595
IL,Illinois,2,2,5994,52918,120260,143185,173894,237682,296935,416557,727825,965840,1128505,1189922,1248133,1338687,1386189,1395863,1419721
IN,Indiana,0,0,2158,17835,34574,45594,62907,96277,122295,181837,341694,514455,629793,664880,689785,723741,747032,757279,771986
IA,Iowa,0,0,497,7145,19552,29074,42696,65252,89248,128798,230634,281712,319408,336455,351402,364841,371424,373861,378831
KS,Kansas,0,0,434,4413,9700,14370,25804,43407,60957,86771,160428,225455,277633,296798,304657,311213,315860,319584,332261
KY,Kentucky,0,0,628,4708,9704,15624,27586,50884,72830,109244,183255,268828,366857,408392,430116,447473,460060,465942,480455
LA,Louisiana,0,0,5237,28001,39916,58095,109917,148894,167458,186649,232414,315275,400626,430100,444933,458581,470685,481467,531952
ME,Maine,0,0,303,1095,2325,3253,3832,4526,5391,6668,11757,24201,39324,44634,50504,61213,67780,69033,70141
MD,Maryland,0,0,1660,21742,52778,67559,84876,108742,125217,145593,198710,276834,354649,382281,411529,447590,460106,462496,467149
MA,Massachusetts,0,1,6620,63211,100468,108882,115926,128533,132116,158576,226132,375178,524025,581148,635580,688973,706945,709966,717944
MI,Michigan,0,0,7951,43478,62711,70728,87173,113163,138074,197164,388102,526668,607901,644564,744823,934576,990199,998606,1006959
MN,Minnesota,0,0,629,5136,24850,36303,51803,75913,99187,148526,318822,415361,461875,484662,519607,575905,601477,605458,611551
MS,Mississippi,0,0,937,6815,15523,27247,52781,82950,98190,120160,153270,215811,275001,294795,305146,311900,317713,321764,339954
MO,Missouri,0,0,1550,7956,13573,21812,43489,86328,130065,189925,314981,418637,499530,524600,588900,600910,615408,634733,685989
MT,Montana,0,0,198,453,515,967,3380,7440,13179,32801,62256,81701,93961,99999,104677,108931,111928,113862,115999
NE,Nebraska,0,0,172,4281,14101,19177,24899,34287,45564,70761,129043,167795,191763,201298,209602,219826,223676,224753,227848
NV,Nevada,0,0,1114,5053,8628,18456,43831,69318,80084,100844,152726,225165,278447,293815,303799,315438,323748,333712,353746
NH,New Hampshire,0,0,357,2146,4651,5782,6441,7275,8266,11084,20994,44028,65695,75424,84176,94886,98726,99504,100465
NJ,New Jersey,0,0,18696,118652,160445,171667,179812,193740,207062,239679,339133,479381,696831,789354,908812,997891,1016332,1023395,1035975
