Code,State,January,Feburary,March,April,May,June,July,August,September,October,November,December,2021January,2021February,2021March,2021April,2021May,2021June,2021July,
AL,Alabama,0,0,23,272,630,950,1491,2182,2540,2967,3578,4827,7688,9930,10554,10896,11146,11352,11510,
AK,Alaska,0,0,3,9,10,14,21,34,52,77,115,198,253,279,299,330,352,360,369,
AZ,Arizona,0,0,25,320,907,1645,3304,5033,5654,5979,6640,8879,13120,15980,16967,17324,17628,17936,18185,
AR,Arkansas,0,0,8,61,133,270,408,797,1369,1925,2502,3676,4868,5417,5626,5739,5833,5909,6099,
CA,California,0,0,173,2031,4172,6082,8494,13020,15898,17661,19209,25965,40928,52213,59260,61756,63249,63662,64325,
CO,Colorado,0,0,69,777,1445,1690,1799,1952,2061,2309,3060,4879,5711,6045,6175,6432,6723,6947,7080,
CT,Connecticut,0,0,69,2257,3944,4322,4418,4465,4508,4616,5020,5995,7046,7622,7886,8097,8238,8278,8288,
DE,Delaware,0,0,10,152,366,509,579,605,636,708,772,926,1090,1422,1559,1625,1661,1694,1698,
DC,District of Columbia,0,0,9,224,466,551,581,607,627,646,680,786,913,1017,1064,1105,1132,1141,1146,
FL,Florida,0,0,85,1268,2451,3505,5931,11186,14316,16760,18596,21672,26478,30851,33424,35160,36773,37877,38840,
GA,Georgia,0,0,111,1132,2053,2805,3509,5506,6861,7790,9198,10588,13778,16757,18473,19564,20180,20729,20956,
HI,Hawaii,0,0,0,16,17,18,26,69,135,218,242,286,407,436,460,480,497,514,529,
ID,Idaho,0,0,8,60,82,92,152,364,469,630,937,1438,1727,1862,1965,2048,2092,2154,2193,
IL,Illinois,0,0,99,2355,5390,6923,7608,8258,8935,10030,13015,17979,21242,22735,23579,24291,25223,25674,25893,
IN,Indiana,0,0,49,1114,2134,2640,2906,3296,3632,4332,5723,8263,9974,12573,13039,13332,13620,13850,13993,
IA,Iowa,0,0,7,162,535,716,836,1120,1358,1716,2426,3891,4901,5470,5743,5950,6055,6138,6183,
KS,Kansas,0,0,9,134,215,273,333,451,678,1029,1560,2741,3779,4735,4913,5025,5114,5188,5282,
KY,Kentucky,0,0,11,240,431,565,709,965,1208,1551,2065,2956,3977,4786,6151,6620,6938,7267,7368,
LA,Louisiana,0,0,239,1905,2791,3221,3786,4950,5511,5919,6420,7488,8859,9608,10141,10382,10576,10738,10948,
ME,Maine,0,0,5,53,89,105,119,132,141,147,194,347,590,703,743,784,825,858,899,
MD,Maryland,0,0,18,1140,2532,3190,3447,3755,3949,4147,4641,5895,7127,7869,8286,8744,9614,9741,9813,
MA,Massachusetts,0,0,89,3562,6846,8054,8536,9060,9456,9991,10748,12423,14577,16118,17185,17610,17872,17994,18071,
MI,Michigan,0,0,292,3991,5731,6193,6405,6756,7084,7699,9565,13010,15516,16498,17112,18743,20361,20984,21150,
MN,Minnesota,0,0,12,343,1050,1476,1616,1866,2089,2511,3652,5382,6268,6551,6926,7237,7519,7687,7753,
MS,Mississippi,0,0,20,261,734,1073,1498,2473,2969,3334,3807,4787,6045,6681,7032,7199,7316,7412,7529,
MO,Missouri,0,0,19,443,814,1019,1221,1623,2157,3090,3981,5887,7176,8383,8977,9243,9676,9919,10272,
MT,Montana,0,0,5,16,17,22,47,104,180,377,684,962,1234,1358,1437,1572,1613,1665,1704,
NE,Nebraska,0,0,3,70,170,274,317,402,493,654,1047,1690,2025,2199,2282,2366,2495,2520,2547,
NV,Nevada,0,0,26,243,417,507,739,1305,1600,1779,2149,3136,4271,4957,5249,5464,5586,5681,5874,
NH,New Hampshire,0,0,3,72,245,371,409,432,439,483,526,759,1057,1170,1238,1303,1353,1372,1386,
NJ,New Jersey,0,0,267,7228,11698,15035,15804,15953,16122,16350,16993,19042,21484,23252,24528,25554,26212,26452,26589,
NM,New Mexico,0,0,4,123,356,497,619,779,877,1018,1568,2479,3285,3716,3939,4069,4265,4342,4409,
NY,New York,0,0,3244,24552,30489,32032,32645,32541,32757,33152,34150,37557,43178,47143,49790,51728,52758,53095,53248,
NC,North Carolina,0,0,12,406,937,1380,1838,2733,3565,4400,5296,6811,9381,11241,12137,12676,13101,13450,13616,
ND,North Dakota,0,0,3,19,61,79,99,147,250,529,933,1299,1447,1475,1498,1523,1543,1559,1569,
OH,Ohio,0,0,55,976,2155,2863,3344,4138,4804,5301,6429,8962,11178,17299,18609,19284,19861,20309,20490,
OK,Oklahoma,0,0,23,222,334,387,496,800,1031,1337,1743,2489,3547,4428,4953,6788,7291,7388,7485,
